"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
381,03/06/20 01:33:30 PM,23.60,0.0,0.0123
382,03/06/20 01:33:40 PM,23.50,0.0,0.0123
383,03/06/20 01:33:50 PM,23.45,0.0,0.0123
384,03/06/20 01:34:00 PM,23.95,0.0,0.0123
385,03/06/20 01:34:10 PM,23.93,0.0,0.0123
386,03/06/20 01:34:20 PM,23.94,0.0,0.0123
387,03/06/20 01:34:30 PM,23.94,0.0,0.0123
388,03/06/20 01:34:40 PM,23.94,0.0,0.0123
389,03/06/20 01:34:50 PM,23.94,0.0,0.0123
390,03/06/20 01:35:00 PM,23.95,0.0,0.0123
391,03/06/20 01:35:10 PM,23.95,0.0,0.0123
392,03/06/20 01:35:20 PM,23.94,0.0,0.0123
393,03/06/20 01:35:30 PM,23.93,0.0,0.0123
394,03/06/20 01:35:40 PM,23.94,0.0,0.0123
395,03/06/20 01:35:50 PM,23.93,0.0,0.0123
396,03/06/20 01:36:00 PM,23.93,0.0,0.0123
397,03/06/20 01:36:10 PM,23.94,0.0,0.0123
398,03/06/20 01:36:20 PM,23.95,0.0,0.0123
399,03/06/20 01:36:30 PM,23.95,0.0,0.0123
400,03/06/20 01:36:40 PM,23.95,0.0,0.0123
401,03/06/20 01:36:50 PM,23.95,0.0,0.0123
402,03/06/20 01:37:00 PM,23.95,0.0,0.0123
403,03/06/20 01:37:10 PM,23.96,0.0,0.0123
404,03/06/20 01:37:20 PM,23.98,0.0,0.0123
405,03/06/20 01:37:30 PM,23.96,0.0,0.0123
406,03/06/20 01:37:40 PM,23.90,0.0,0.0123
407,03/06/20 01:37:50 PM,23.92,0.0,0.0123
408,03/06/20 01:38:00 PM,23.90,0.0,0.0123
409,03/06/20 01:38:10 PM,24.04,0.0,0.0123
410,03/06/20 01:38:20 PM,24.14,0.0,0.0123
411,03/06/20 01:38:30 PM,24.21,0.0,0.0123
412,03/06/20 01:38:40 PM,24.21,0.0,0.0123
413,03/06/20 01:38:50 PM,24.28,0.0,0.0123
414,03/06/20 01:39:00 PM,24.33,0.0,0.0123
415,03/06/20 01:39:10 PM,24.38,0.0,0.0123
416,03/06/20 01:39:20 PM,24.39,0.0,0.0123
417,03/06/20 01:39:30 PM,24.43,0.0,0.0123
418,03/06/20 01:39:40 PM,24.44,0.0,0.0123
419,03/06/20 01:39:50 PM,24.43,0.0,0.0123
420,03/06/20 01:40:00 PM,24.43,0.0,0.0123
421,03/06/20 01:40:10 PM,24.44,0.0,0.0123
